Ticker,Name,Price,NWCI,CFOA,D/E,PAT,Dependent variables,,,,,
STR IS Equity,Strides Shasun Ltd,1058.55,895.85,731209984,76.63142395,79454464,1,,,,,
NDTV IS Equity,New Delhi Television Ltd,119.15,197.29,-295660000,76.63195801,-342556928,0,,,,,
SEIN IS Equity,SE Investments Ltd,185,0,212942656,77.16985321,432201792,1,,,,,
FLFL IS Equity,Future Lifestyle Fashions Ltd,78.5,0,789800000,77.78861237,1389037952,1,,,,,
UT IS Equity,Unitech Ltd,5.6,1238.38825,-3786575104,78.62223053,6529014272,1,,,,,
PVKP IS Equity,Puravankara Projects Ltd,47.7,668.8,1031000000,79.31331635,3139235584,1,,,,,
TCO IS Equity,Tata Coffee Ltd,88,-262.178,2079270016,81.13202667,1857185280,1,,,,,
HTFL IS Equity,Heritage Foods Ltd,520.75,240.308,364715008,81.5809021,353003424,1,,,,,
SOBHA IS Equity,Sobha Ltd,253,7571.49,-4473930240,82.34952545,3590801664,1,,,,,
FNXP IS Equity,Finolex Industries Ltd,359,361.074,1613227008,82.52807617,949613696,1,,,,,
DLFU IS Equity,DLF Ltd,106.55,4199.98,-7329631232,83.47846222,19997583360,1,,,,,
FCEL IS Equity,Future Consumer Enterprise Ltd,21.2,143.884,-2532515072,83.8575058,-918025472,0,,,,,
TVSL IS Equity,TVS Motor Co Ltd,286,3206.6,582099968,84.48246002,3057385216,1,,,,,
BHARTI IS Equity,Bharti Airtel Ltd,333.3,-12723,2.30E+11,85.55614471,83817244672,1,,,,,
ARBP IS Equity,Aurobindo Pharma Ltd,726.6,10410.5,11783900160,85.89930725,16841032704,1,,,,,
VEDL IS Equity,Vedanta Ltd,89.45,19186.7,1.31E+11,86.96637726,51734282240,1,,,,,
KPR IS Equity,KPR Mill Ltd,760.8,1143.1,2332000000,87.20707703,2359799808,1,,,,,
BLSTR IS Equity,Blue Star Ltd,330,-1546.659,1698022016,87.30367279,1547008640,1,,,,,
GESCO IS Equity,Great Eastern Shipping Co Ltd/The,307.5,-276.7,12231300096,88.00894165,7717522944,1,,,,,
HEG IS Equity,HEG Ltd,139.15,-838.125,2024504064,90.44799042,1053346688,1,,,,,
OPTC IS Equity,Opto Circuits India Ltd,11.1,1006.50581,-2884232704,90.85599518,394901824,1,,,,,
KNRC IS Equity,KNR Constructions Ltd,522.6,499.079,521190016,90.97364807,717065536,1,,,,,
NJCC IS Equity,NCC Ltd/India,68.9,164.69,2398579968,91.0510788,3493295872,1,,,,,
HCLI IS Equity,HCL Infosystems Ltd,41.5,1751,-3480499968,91.50695801,-560968832,0,,,,,
IOCL IS Equity,Indian Oil Corp Ltd,389.6,-314141.7,4.26E+11,92.82933044,42562125824,1,,,,,
DFPC IS Equity,Deepak Fertilisers & Petrochemicals Corp,158.15,4127.282,-1570082944,93.6690979,1410016256,1,,,,,
HSS IS Equity,Himatsingka Seide Ltd,189,-229.095,1314011008,93.96134949,1369366016,1,,,,,
RELI IS Equity,Reliance Infrastructure Ltd,513.5,14812.9,17129299968,94.84393311,22275944448,1,,,,,
WLCO IS Equity,Welspun Corp Ltd,90.35,-2591.88,7637069824,95.73596191,3811090688,1,,,,,
PEPL IS Equity,Prestige Estates Projects Ltd,148,12702.8,-7308499968,96.1468277,4974305280,1,,,,,
HATH IS Equity,Hathway Cable & Datacom Ltd,36.7,243,1059100032,97.67273712,-567129152,0,,,,,
SF IS Equity,Sundram Fasteners Ltd,145.9,2103.5141,668867968,98.28105164,1892627328,1,,,,,
SBTR IS Equity,State Bank of Travancore,382.9,0,2103969024,98.90162659,10415460352,1,,,,,
SINT IS Equity,Sintex Industries Ltd,72.05,897.5,6902099968,99.03826141,6834585088,1,,,,,
LIIL IS Equity,Linde India Ltd,266,-33.59,1380630016,99.68956757,676436416,1,,,,,
KRB IS Equity,KRBL Ltd,209.8,1356.712,2603120128,101.9146805,3554073856,1,,,,,
